local_path,title,source_type,version_status,effective_from,published_at,source_page_url,download_url,bytes,sha256,collected_at
raw/law_go_kr/01_university_rules_current_2026.html,Gyeongsang National University Rules,regulation,current,2026-02-27,2026-02-27,https://www.law.go.kr/LSW/schlPubRulInfoP.do?schlPubRulSeq=2200000153007,https://www.law.go.kr/LSW/schlPubRulInfoR.do?schlPubRulSeq=2200000153007&joTpYn=Y&languageType=KO,293022,b6675d089e8083b571444dd15a39aefbdec35f6e197a92dcf5d6a13babc0c0fd,2026-08-06
raw/law_go_kr/02_graduate_academic_operation_2024.html,Graduate School Academic Operation Regulations,regulation,historical,2024-01-16,2024-01-16,https://www.law.go.kr/LSW/schlPubRulInfoP.do?schlPubRulSeq=2200000124859,https://www.law.go.kr/LSW/schlPubRulInfoR.do?schlPubRulSeq=2200000124859&joTpYn=Y&languageType=KO,79745,776333d156f48c29564ae2f5f25e87c728472d812358c864e89f5b96f67c679c,2026-08-06
raw/law_go_kr/03_graduate_academic_operation_current_2026.html,Graduate School Academic Operation Regulations,regulation,current,2026-02-27,2026-02-27,https://www.law.go.kr/LSW/schlPubRulInfoP.do?schlPubRulSeq=2200000153021,https://www.law.go.kr/LSW/schlPubRulInfoR.do?schlPubRulSeq=2200000153021&joTpYn=Y&languageType=KO,82115,cf4f48eb1a66e5fb601aeea97c410ae3858744f78879c881c09db64a421d6d1d,2026-08-06
raw/law_go_kr/04_graduate_degree_conferral_current_2026.html,Graduate School Degree Conferral Regulations,regulation,current,2026-02-27,2026-02-27,https://www.law.go.kr/LSW/schlPubRulInfoP.do?schlPubRulSeq=2200000153023,https://www.law.go.kr/LSW/schlPubRulInfoR.do?schlPubRulSeq=2200000153023&joTpYn=Y&languageType=KO,37772,59a1afe709b0f1809a84f57292f432af8bf60a0c9ef4810df8b8f1d9540f1274,2026-08-06
raw/law_go_kr/05_graduate_curriculum_guidelines_2024.html,Graduate School Curriculum Operation Guidelines,guideline,current-at-source,2024-01-16,2024-01-16,https://www.law.go.kr/LSW/schlPubRulInfoP.do?schlPubRulSeq=2200000124943,https://www.law.go.kr/LSW/schlPubRulInfoR.do?schlPubRulSeq=2200000124943&joTpYn=Y&languageType=KO,9634,be25c0ad579baf9b0fe34e3ac5d292ad19355b1c81ffefe4905f302586bc2586,2026-08-06
raw/law_go_kr/06_thesis_qualification_exam_guidelines_2021.html,General Graduate School Thesis Qualification Examination Guidelines,guideline,current-at-source,2021-11-23,2021-11-23,https://www.law.go.kr/LSW/schlPubRulInfoP.do?schlPubRulSeq=2200000096213,https://www.law.go.kr/LSW/schlPubRulInfoR.do?schlPubRulSeq=2200000096213&joTpYn=Y&languageType=KO,14801,21b8b74c3b3668b08ca5d42a09488d2c2faa836201391e92ca21ddd142f9391a,2026-08-06
raw/law_go_kr/07_research_ethics_regulations_2025.html,Research Ethics Regulations,regulation,current-at-source,2025-02-28,2025-02-28,https://www.law.go.kr/LSW/schlPubRulInfoP.do?schlPubRulSeq=2200000139977,https://www.law.go.kr/LSW/schlPubRulInfoR.do?schlPubRulSeq=2200000139977&joTpYn=Y&languageType=KO,65498,f6ef3f0fdbf2b6be9a314d59d4ac7d6221ea65dd95416799c42615c6100b4220,2026-08-06
raw/gnu/08_thesis_writing_guidelines_page_2025.html,General Graduate School Thesis Writing Guidelines and Templates,official-guidance,current-at-source,,2025-06-13,https://www.gnu.ac.kr/graduate/na/ntt/selectNttInfo.do?bbsId=1215&mi=2382&nttSn=2326423,https://www.gnu.ac.kr/graduate/na/ntt/selectNttInfo.do?bbsId=1215&mi=2382&nttSn=2326423,65657,a26b52753de8e6720a17cc21fb91b3920cbf6b37793a811a3cfcaad6775be228,2026-08-06
raw/gnu/08a_thesis_writing_guidelines_ko_en.hwp,Thesis Writing Guidelines in Korean and English,attachment,current-at-source,,2025-06-13,https://www.gnu.ac.kr/graduate/na/ntt/selectNttInfo.do?bbsId=1215&mi=2382&nttSn=2326423,https://www.gnu.ac.kr/common/nttFileDownload.do?fileKey=00fe9acba2ef7fa5de9fda776b4d45a5,164352,ba1362aad35b287cae13f73d9115312ec723f008b82a79096c1ae6763b4b8c96,2026-08-06
raw/gnu/08b_thesis_template_korean.docx,Korean Thesis Template,attachment,current-at-source,,2025-06-13,https://www.gnu.ac.kr/graduate/na/ntt/selectNttInfo.do?bbsId=1215&mi=2382&nttSn=2326423,https://www.gnu.ac.kr/common/nttFileDownload.do?fileKey=016a80b5f94318bd4d90b1463cd59304,26748,59502fa954f574fa66f080cce86d2ed9760f8aba7c9dfdaf1a865a0f0bfb3e35,2026-08-06
